Pgen,sunshine,day,tem,sunshine_norm,day_norm,tem_norm,,sun,sun_norm,,-2018,Pgen_norm,,2017,genn,P2gen_norm
403.18,8.4,,0.4,0.651162791,0,0.242647059,,10.96,0.363636364,,403.18,0.570276807,,,443,0.013806214
159.71,2.6,,0.8,0.201550388,0.005479452,0.25245098,,5.98,0.198407432,,159.71,0.225901356,,,442.58,0.013793125
416.4,8.3,,-1.3,0.643410853,0.008219178,0.200980392,,10.99,0.364631719,,416.4,0.588975799,,,293.87,0.009158538
222.5,1.6,,-1.9,0.124031008,0.010958904,0.18627451,,8.16,0.270736563,,222.5,0.314714494,,,181.3,0.005650263
319.2,4.5,,0.5,0.348837209,0.01369863,0.245098039,,10.54,0.349701393,,319.2,0.451491535,,,127.87,0.003985103
430.96,8.5,,-0.1,0.658914729,0.016438356,0.230392157,,12.14,0.402786994,,430.96,0.60957015,,,358.52,0.011173372
93,0,,-0.6,0,0.019178082,0.218137255,,4.32,0.143331121,,93,0.131543586,,,190.51,0.005937295
85.31,0,,2.2,0,0.021917808,0.286764706,,1.89,0.062707366,,85.31,0.120666488,,,300.79,0.009374201
137.16,1.1,,-0.3,0.085271318,0.024657534,0.225490196,,5.94,0.197080292,,137.16,0.194005573,,,372.84,0.011619659
14.14,1.2,,-3.5,0.093023256,0.02739726,0.147058824,,5.41,0.179495687,,14.14,0.020000283,,,257.86,0.008036276
1.12,1.1,,-7.5,0.085271318,0.030136986,0.049019608,,4.29,0.142335766,,1.12,0.001584181,,,404.41,0.012603547
14.98,4.4,,-9.5,0.341085271,0.032876712,0,,7.79,0.258460518,,14.98,0.021188419,,,275.79,0.00859507
271.77,7,,-1.7,0.542635659,0.035616438,0.191176471,,11.6,0.384870604,,271.77,0.384404306,,,186.03,0.005797675
372.32,5.4,,0.9,0.418604651,0.038356164,0.254901961,,10.38,0.344392833,,372.32,0.526626968,,,503.68,0.015697323
350.92,7,,4.6,0.542635659,0.04109589,0.345588235,,9.18,0.304578633,,350.92,0.496357799,,,500.17,0.015587933
72.5,0,,3.6,0,0.043835616,0.321078431,,2.68,0.088918381,,72.5,0.102547419,,,491.7,0.015323963
221.59,2.1,,4.7,0.162790698,0.046575342,0.348039216,,4.89,0.162242867,,221.59,0.313427347,,,273.23,0.008515287
